System Total Enplaned Passengers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Thousands, , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , 
, ,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
, , , , , , , , , , , , , , , , , , , , , , , , , , 
American, ,79567.182,79387.628,81138.33,81476.833,81507.894,86382.135,78178.705,94130.352,88888.929,91619.665,98098.33,98200.398,98212.274,92817.605,85783.035,86203.276,86150.335,86464.899,87001.722,88020.842,146814.345,144530.418,144921.849,148227.868,155821.23
Continental, ,35284.189,35984.116,38965.779,41691.408,44012.311,45409.245,42780.215,40009.089,38936.2,40745.993,42822.264,46775.919,49005.712,46964.788,44019.037,43568.258,45282.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta, ,86963.085,97268.562,103207.867,103724.605,105529.015,105709.077,94179.938,90924.099,84246.369,86901.935,86105.101,73654.538,73051.485,71727.996,67852.225,111235.732,113856.873,116910.335,120718.462,129518.665,138854.392,143304.739,145896.522,152267.103,162777.114
Northwest, ,49370.005,52722.136,54704.317,50538.811,54764.43,56927.032,52373.97,51827.44,51975.656,55446.115,56537.115,54887.676,53736.983,48920.621,41116.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United, ,78807.932,81944.83,84247.098,86868.185,86580.996,83913.3,75181.72,68494.278,66101.151,70880.444,66801.529,69325.082,68385.937,63149.733,56082.619,54099.291,50501.504,92567.039,90331.5,90595.277,95555.189,100331.924,107416.278,113325.432,116378.1
US Airways, ,57035.26,56894.285,58814.445,58094.384,55892.647,59830.431,56148.005,47167.584,41264.287,42408.295,41869.238,57685.648,57865.666,54820.01,51016.486,51853.197,52958.806,54276.8,57045.485,57553.597,0.0,0.0,0.0,0.0,0.0
America West, ,16848.329,18178.063,18331.351,17791.959,18703.566,19954.018,19594.293,19451.122,20048.414,21132.43,22129.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 --sub Network, ,403875.9820000001,422379.62000000005,439409.18700000003,440186.185,446990.859,458125.23799999995,418436.84599999996,412003.9639999999,391461.00600000005,409134.877,414363.447,400529.261,400258.05700000003,378400.75299999997,345869.961,346959.754,348749.802,350219.073,355097.169,365688.381,381223.926,388167.081,398234.649,413820.40300000005,434976.444
, , , , , , , , , , , , , , , , , , , , , , , , , , 
Southwest, ,50151.362,55490.793,51669.196,59177.01,65485.5,72710.32,73742.879,72515.95,74788.288,81150.157,88473.713,96349.391,101989.972,102041.896,101429.689,106307.266,110645.895,134070.163,133245.919,135856.371,144678.301,151827.582,157766.132,163684.092,162711.584
jetBlue, ,0.0,0.0,0.0,0.0,0.0,1128.146,3056.371,5672.638,8949.744,11731.733,14681.039,18507.003,21304.722,21824.403,22392.322,24216.697,26373.065,28966.808,30459.433,32101.74,35130.79,38309.04,40016.788,42236.283,42837.163
AirTran, ,497.599,1075.371,1085.288,4589.806,6457.696,7547.35,8302.732,9660.141,11657.851,13178.118,16619.286,20046.956,23761.073,24619.12,23997.81,24721.225,24705.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontier, ,611.451,1283.378,1278.127,1529.975,2176.024,2892.792,2997.968,3737.673,5071.163,6437.921,7349.742,8934.447,10400.172,10640.737,9494.913,9251.839,10621.657,10701.955,10672.79,12170.028,13104.187,14865.971,16799.968,19432.848,22687.107
Virgin America, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.625,2564.629,3747.22,3891.1,5006.329,6220.081,6329.378,6499.659,6993.269,8032.369,8398.287,0.0,0.0
 --sub LCC, ,51260.412000000004,57849.541999999994,54032.611000000004,65296.791,74119.22,84278.60800000001,88099.95,91586.402,100467.046,112497.92900000002,127123.78,143837.79700000002,157839.56399999998,161690.78499999997,161061.954,168388.127,177352.326,179959.00699999998,180707.52,186627.798,199906.54700000002,213034.962,222981.17500000002,225353.223,228235.854
, , , , , , , , , , , , , , , , , , , , , , , , , , 
Alaska, ,10139.128,11804.938,12283.258,13055.941,13619.767,13524.685,13667.47,14153.286,15070.339,16294.555,16758.941,17164.501,17559.002,16809.469,15561.087,16514.349,17809.881,18525.73,19737.293,20972.229,22868.774,24421.48,26110.618,35601.05,35529.908
Hawaiian, ,4926.466,5340.302,5188.656,5264.589,5692.04,6271.183,5830.409,5861.32,5682.956,5612.859,5839.536,6204.313,7098.771,7857.461,8344.839,8424.049,8665.783,9484.204,9932.664,10074.185,10459.77,10828.305,11299.773,11630.32,11530.675
Spirit, ,678.005,750.007,1093.321,1551.13,2496.165,3221.261,3274.123,3686.807,4110.592,4592.64,4507.56,4477.169,6902.602,6819.875,6088.588,6750.835,8296.297,10176.191,12098.255,13978.786,17629.033,20997.732,23812.748,28683.265,33873.212
Allegiant, ,0.0,0.0,0.0,0.0,0.0,129.687,67.157,189.406,485.467,841.11,1204.467,2187.22,3272.013,4292.432,5319.764,5882.4,6148.1,6973.955,7241.764,8187.645,9560.098,11199.126,12397.076,13847.439,15121.937
 -- sub Other, ,15743.599,17895.247,18565.235,19871.66,21807.972,23146.816,22839.159,23890.819,25349.354,27341.164,28310.504,30033.203,34832.388,35779.237,35314.278,37571.633,40920.061,45160.08,49009.976,53212.845,60517.675,67446.64300000001,73620.215,89762.07400000001,96055.732
, , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , 
Total All Sectors, ,470879.9930000001,498124.40900000004,512007.03300000005,525354.6359999999,542918.051,565550.662,529375.955,527481.1849999999,517277.4060000001,548973.97,569797.7309999999,574400.261,592930.0090000001,575870.7749999999,542246.193,552919.514,567022.189,575338.1599999999,584814.665,605529.024,641648.148,668648.686,694836.039,728935.7000000001,759268.03
, , , , , , , , , , , , , , , , , , , , , , , , , , 
"Data Source:  US DOT Form 41 via BTS, Schedule T1.", , , , , , , , , , , , , , , , , , , , , , , , , , 
